num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,#Notes,#V,#R,#I,#PI
87,RXJ1615.3-3255, 16:15:00.00, -32:00:00.0,2000.0,-0.000547,-0.02341,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=11.2,0.15arcsecplanet?",#12.0,#11.21,#10.5,# Close
83,RXJ1604.3-2130A, 16:04:21.65, -21:30:28.4,2000.0,-0.0008296666666666,-0.023805,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=11.8,gapfollowupNIRcandidate",#--,#--,#--,# Close
78,HD142527, 15:56:41.89, -42:19:23.3,2000.0,-0.0007282666666666,-0.026149,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=8.3,60masHacomp",#8.34,#--,#--,# Close
20,HPCha, 11:08:15.37, -77:33:53.4,2000.0,-0.0002466666666666,-0.0035,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#i=11.42,gap0.1arcsec-0.21arcsecpossibleMAGplanet",#12.77,#12.11,#--,# Close
19,HD97048, 11:08:03.31, -77:39:17.49,2000.0,-0.0015017333333333,0.001291,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#I=8.6,gappossible0.1arcsec-0.21arcsecplanets",#9.0,#--,#8.64,# Close
18,CSCha, 11:02:24.88, -77:33:35.6,2000.0,-0.0014282,0.005021,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#I=10.12,follow-up",#11.69,#--,#10.123,# Close
16,TWHya, 11:01:51.90, -34:42:17,2000.0,-0.0045539333333333,-0.0139,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#I=9.2,3rings",#10.5,#10.626,#9.18,# Close
54,PDS70, 14:08:10.15, -41:23:52.5,2000.0,-0.0019798,-0.024041,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=11.7,200masHaplanets",#12.18,#11.71,#10.506,# Close
13,SZCha, 10:58:16.77, -77:17:17.1,2000.0,-0.0015644,0.0020299999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#I=10.62,3ringsmassiveplanets",#12.68,#--,#10.62,# Close
12,SZCha, 10:58:16.77, -77:17:17.1,2000.0,-0.0015644,0.0020299999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#I=10.62,3ringsmassiveplanetstheory",#12.68,#--,#10.62,# Close
92,DoAr44, 16:31:33.46, -24:27:37.3,2000.0,-0.0003876666666666,-0.024191,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=11.7,gap0.1arcsec-0.2arcsecpossibleMAGplanet",#12.8,#--,#--,# Close
30,HD100546,11:33:25.44, -70:11:41.2,2000.0,-0.002582,-9.7e-05,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#I=6.7,0.15arcsecpossibleMAGplanets",#6.3,#--,#6.64,# Close
64,HD135244, 15:15:48.43, -37:09:16.0,2000.0,-0.0007984666666666,-6.6e-05,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=8.7,gap0.1-0.3arcsecpossibleMAGplanets(cugnoHa71masandaPA19)dusty",#7.56,#--,#--,# Close
100,HD169142, 18:24:29.78, -29:46:49.37,2000.0,-0.0001556666666666,-0.0378789999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#R=8.2,follow-up(duetoDECmustbedonesymmetricallyaround5:30AMtransit)",#8.16,#--,#--,# Close
