num,Name,RA,DEC,pmra,pmdec,V mag,R mag,I mag,otype,spt
1,HD225213,00:05:24.4284,-37:21:26.507,0.3755625333333334,-2.334721,8.562,7.589,6.432,Eruptive*,M2V
2,epsPhe,00:09:24.6400,-45:44:50.726,0.0080262,-0.179597,3.87,3.11,2.59,PM*,K0III
3,HD870,00:12:50.2492,-57:54:45.394,-0.007875266666666669,0.034996000000000006,7.226,6.803,6.416,PM*,K0V
4,HD1273,00:16:53.8974,-52:39:04.166,0.020859533333333336,0.184953,6.852,6.475,6.095,SB*,G5VFe-1.2CH-0.9
5,zetTuc,00:20:04.2586,-64:52:29.257,0.11378313333333336,1.164959,4.23,3.73,3.4,PM*,F9.5V
6,betHyi,00:25:45.0703,-77:15:15.286,0.14796933333333334,0.32409,2.79,2.28,1.94,PM*,G0V
7,kapPhe,00:26:12.2013,-43:40:47.390,0.007092933333333334,0.032491,3.94,3.78,3.7,PM*,A5IVn
8,etaScl,00:27:55.6978,-33:00:25.797,-0.0013380000000000002,-0.049425,4.81,3.22,1.84,LPV*,M2/3III
9,mu.Phe,00:41:19.5522,-46:05:06.018,-0.00188,0.0018000000000000002,4.59,3.84,3.32,Star,G8III
10,HD4378,00:45:48.2871,-41:54:33.096,0.02038466666666667,-0.07558,7.881,7.115,6.466,**,K5/M0V
11,HD5133,00:53:01.1348,-30:21:24.891,0.04134953333333335,0.03177,7.171,6.639,6.179,PM*,K2.5Vk:
12,VCFTuc,00:53:07.7675,-74:39:05.608,0.016220133333333338,0.021591000000000003,7.9,,6.73,RSCVn,G2/5V+F0
13,betPhe,01:06:05.0395,-46:43:06.278,-0.005387333333333334,0.03497,3.3,2.59,2.08,**,G8III
14,VAWScl,01:06:26.5793,-35:39:38.395,0.0045912,-0.01764,6.61,6.54,6.48,RotV*alf2CVn,A1V
15,HD7693,01:15:00.9940,-68:49:08.081,0.02781533333333334,0.07532,7.239,6.697,6.226,**,K2V+K3V
16,nu.Phe,01:15:11.1214,-45:31:53.992,0.04433906666666668,0.17807,4.96,4.47,4.11,PM*,F9VFe+0.4
17,VRScl,01:26:58.0939,-32:32:35.439,-0.0006141333333333334,-0.030813,5.72,3.69,2.3,C*,C-N5+
18,alfEri,01:37:42.8454,-57:14:12.310,0.0058000000000000005,-0.03824,0.46,0.49,0.6,Be*,B6Vpe
19,120Phe,01:46:05.9653,-50:48:58.516,0.0028551333333333337,-0.016559,5.49,4.0,2.73,Star,M2III
20,psiPhe,01:53:38.7410,-46:18:09.604,-0.006210666666666668,-0.09117,4.41,2.68,1.17,LPV*,M4III
21,alfHyi,01:58:46.1946,-61:34:11.494,0.017577333333333337,0.02677,2.84,2.55,2.39,PM*,F0IV
22,chiPhe,02:01:42.3763,-44:42:48.626,-0.0020944666666666673,-0.047826,5.14,3.92,3.03,PM*,K5IV
23,HD13397,02:09:38.1923,-48:35:56.734,0.0037885333333333338,0.005203,7.74,,6.764,PM*,K0III
24,mu.For,02:12:54.4699,-30:43:25.773,0.0009616666666666669,0.0066159999999999995,5.26,,5.26,Star,A0V
25,phiEri,02:16:30.5856,-51:30:43.795,0.006068666666666668,-0.02223,3.57,3.64,3.75,PM*,B8IV
26,delHyi,02:21:44.9423,-68:39:33.906,-0.0033596666666666675,0.003214,4.09,4.05,4.04,PM*,A2V
27,kapEri,02:26:59.1217,-47:42:13.824,0.001288,-0.00554,4.25,4.28,4.41,Star,B7IV
28,phiFor,02:28:01.7031,-33:48:39.742,0.0012506000000000001,0.005426,5.123,,5.03,Star,A2.5V
29,VCCEri,02:34:22.5661,-43:47:46.869,0.0038344000000000004,-0.293474,8.865,7.926,6.992,BYDra,K7V
30,HD16743,02:39:07.5626,-52:56:05.304,0.004903066666666668,0.04956,6.77,,6.33,PM*,F0/2III/IV
31,betFor,02:49:05.4189,-32:24:21.232,0.005734866666666667,0.159404,4.46,3.7,3.16,RGB*,G9IIIb
32,VRHor,02:53:52.7701,-49:53:22.730,0.008571133333333337,0.035766,3.92,4.99,1.51,Mira,M5-7e
33,HD18252,02:54:49.5549,-33:31:29.489,0.0008762,0.012816000000000001,6.88,,6.61,Star,A3mA5-F0
34,VTWHor,03:12:33.1599,-57:19:17.577,0.0012566666666666668,0.013692000000000001,5.71,3.78,2.4,C*,C-N5IIIb:
35,HD20232,03:13:50.1585,-38:48:33.807,-0.0024921333333333337,-0.044652000000000004,6.88,,6.69,PM*,A2/3III/IV
36,HD20407,03:15:06.3902,-45:39:53.360,-0.0087916,0.142099,6.756,6.426,6.103,PM*,G5VFe-1.2CH-1
37,zet01Ret,03:17:46.1634,-62:34:31.152,0.08916866666666667,0.6498400000000001,5.54,5.0,4.66,PM*,G2.5VHdel1
38,eEri,03:19:55.6509,-43:04:11.215,0.20233446666666668,0.726964,4.27,3.65,3.25,PM*,G6V
39,HD21175,03:23:35.2554,-40:04:34.964,0.004265666666666668,0.035175,6.903,6.439,5.986,PM*,K0V
40,HD21749,03:26:59.2226,-63:29:56.762,0.023679666666666672,-0.247388,8.143,7.43,6.865,PM*,K4.5V
41,HD22705,03:36:53.4019,-49:57:28.871,0.0060277333333333336,0.001866,7.62,,6.96,**,G2V
42,yEri,03:37:05.6780,-40:16:28.777,-0.0008354666666666668,-0.009929,4.58,3.74,3.17,Star,K1III
43,HD23484,03:44:09.1729,-38:16:54.372,0.0139372,0.28931599999999996,6.996,6.516,6.09,PM*,K2V
44,gamHyi,03:47:14.3406,-74:14:20.268,0.0033900000000000007,0.11474,3.26,1.92,0.82,PM*,M1III
45,gEri,03:49:27.2452,-36:12:00.904,-0.003278666666666667,-0.05701,4.17,3.46,2.96,PM*,G7III
46,HD24649,03:53:27.2164,-41:13:21.739,0.0018681333333333335,0.066979,7.22,,6.62,PM*,F6V
47,HD24966,03:56:29.3766,-38:57:43.805,0.0020178,0.000301,6.89,,6.85,Star,A0V
48,delRet,03:58:44.7494,-61:24:00.667,0.0006533333333333335,-0.0143,4.57,3.23,2.19,V*,M1.5III
49,gamRet,04:00:53.8085,-62:09:33.425,0.00020200000000000003,0.03467,4.5,2.84,1.36,LPV*,M4III
50,HD26575,04:10:45.8710,-35:16:25.636,-0.001346866666666667,-0.026232,6.44,5.61,5.05,Star,K0IIICN-0.5CH-2
51,delHor,04:10:50.5892,-41:59:36.853,0.013272000000000004,0.07018,4.93,4.58,4.37,**,F2IV/V
52,alfHor,04:14:00.1142,-42:17:39.726,0.002799466666666667,-0.203157,3.86,3.0,2.41,PM*,K2III
53,alfRet,04:14:25.4841,-62:28:25.891,0.0027980000000000006,0.049420000000000006,3.36,2.71,2.27,PM*,G8IIIa:
54,HD27274,04:15:56.9015,-53:18:35.306,0.05230193333333334,0.396695,7.634,6.967,6.412,PM*,K4.5Vk:
55,epsRet,04:16:29.0281,-59:18:07.755,-0.003185666666666667,-0.167806,4.44,3.62,3.08,PM*,K2III
56,ups04Eri,04:17:53.6624,-33:47:54.056,0.004168000000000001,-0.007240000000000001,3.56,3.57,3.68,SB*,B9V
57,43Eri,04:24:02.2063,-34:01:00.658,0.0045048000000000015,0.048489,3.96,2.79,1.96,PM*,K3.5III
58,alfDor,04:33:59.7771,-55:02:41.924,0.0038500000000000006,0.01093,3.28,3.29,3.38,RotV*alf2CVn,B8IIIpSi
59,ups02Eri,04:35:33.0383,-30:33:44.429,-0.0032846666666666675,-0.01272,3.82,3.07,2.58,PM*,G8+III
60,VRDor,04:36:45.5912,-62:04:37.797,-0.0046240000000000005,-0.07578,5.4,2.71,-0.44,AGB*,M8III:e
61,alfCae,04:40:33.7130,-41:51:49.507,-0.009359333333333334,-0.07482,4.45,4.11,3.9,PM*,F2V
62,HD30501,04:45:38.5783,-50:04:27.122,-0.029615800000000005,-0.338291,7.588,7.105,6.676,SB*,K2V
63,HD30876,04:49:52.3318,-35:06:27.469,-0.0017332000000000005,-0.11400700000000001,7.495,6.992,6.548,PM*,K2V
64,iotPicA,04:50:55.3296,-53:27:41.529,-0.006684866666666667,0.08565900000000001,5.57,,5.18,PM*,F0V
65,HD31274,04:52:02.0066,-46:51:08.783,-0.00022393333333333335,-0.012716,7.13,6.36,5.84,Star,K0IIICN-1CH-3.5
66,HD32517,05:01:36.1680,-44:49:48.944,0.0004484,-0.067941,7.55,,6.644,PM*,G8/K0III(+F/G)
67,HD32491,05:01:54.3994,-36:58:42.854,0.0011826000000000002,-0.056564,7.633,,6.754,PM*,K0III
68,HD32778,05:02:17.0376,-56:04:50.163,-0.0029746000000000004,0.732236,7.021,6.66,6.293,PM*,G7VFe-1.4CH-1.2
69,gamCae,05:04:24.4021,-35:28:58.716,0.008411333333333335,-0.04367,4.55,3.64,2.99,**,K2.5IIIb+G8IV
70,eta02Pic,05:04:58.0142,-49:34:40.202,0.004574733333333334,-0.00221,5.01,3.81,2.9,PM*,K5III
71,VYZMen,05:10:26.7502,-77:13:01.526,-0.0013406666666666669,-0.004013,7.77,,6.566,RSCVn,K1IIIp
72,HD33793,05:11:40.5898,-45:01:06.361,0.4327482000000001,-5.708614,8.853,7.9,6.899,PM*,M1VIp
73,omiCol,05:17:29.0887,-34:53:42.722,0.006411133333333334,-0.339569,4.83,4.09,3.54,PM*,K1IV
74,VASCol,05:20:38.0482,-39:45:17.797,0.002583133333333334,0.013121,7.38,,6.81,RSCVn,F6V
75,HD35165,05:21:16.8603,-34:20:42.173,-6.8666666666666664e-06,0.0075910000000000005,6.09,6.12,6.26,Be*,B2Vnpe
76,HD35854,05:26:14.7380,-32:30:17.137,0.016368933333333335,-0.089322,7.711,7.184,6.7,PM*,K2/3V
77,HD36435,05:27:39.3521,-60:24:57.586,-0.009888666666666669,-0.093219,6.983,6.573,6.191,PM*,G5V
78,HD36187,05:28:15.3350,-37:13:50.747,0.0007258000000000002,0.068709,5.552,,5.52,PM*,A0V
79,VABDor,05:28:44.8712,-65:26:55.199,0.0025036000000000004,0.15857400000000002,6.999,6.496,5.993,TTau*,K0V
80,HD36552,05:30:19.6610,-43:41:37.968,0.00033806666666666673,0.01961,8.08,7.37,6.89,Star,G7III:CN-1CH-2.5
81,epsCol,05:31:12.7474,-35:28:13.823,0.0018418000000000004,-0.032416,3.87,3.05,2.45,Star,K1II/III
82,gamMen,05:31:52.8525,-76:20:27.246,0.009061600000000001,0.26687700000000003,5.2,4.34,3.78,PM*,K2III
83,betDor,05:33:37.5159,-62:29:23.376,-4.073333333333334e-05,0.01295,3.76,3.55,3.12,deltaCep,F8/G0Ib
84,VUYPic,05:36:56.8528,-47:57:52.883,0.0015419333333333337,-0.001134,7.676,,6.699,RSCVn,K0V
85,alfCol,05:39:38.9410,-34:04:26.794,0.00010533333333333336,-0.024820000000000002,2.65,2.65,2.74,Be*,B9Ve
86,HD38056,05:41:26.9256,-33:24:02.671,0.0003725333333333334,-0.012525000000000001,6.342,,6.37,Star,B9.5V
87,delDor,05:44:46.3781,-65:44:07.901,-0.0019273333333333336,0.00517,4.36,4.1,3.93,Star,A7V
88,mu.Col,05:45:59.8950,-32:18:23.162,0.0002180666666666667,-0.022175999999999998,5.18,5.3,5.57,V*,O9.5V
89,HD38805,05:46:42.0908,-36:13:52.876,-1.6533333333333337e-05,-0.018041,6.82,,6.74,Star,A3V
90,betPic,05:47:17.0876,-51:03:59.441,0.0003100000000000001,0.0831,3.86,3.74,3.58,PM*,A6V
91,betCol,05:50:57.5921,-35:46:05.915,0.003651333333333334,0.4042,3.12,2.27,1.69,PM*,K1III_CN+1
92,lamCol,05:53:06.8816,-33:48:04.907,-0.000273,0.031125,4.87,4.94,5.09,EllipVar,B5V
93,VSZPic,05:53:27.3640,-43:33:31.322,-0.0002651333333333334,-0.05572,7.906,,6.974,RSCVn,G8V
94,HD40307,05:54:04.2405,-60:01:24.493,-0.003478266666666667,-0.060059,7.147,6.597,6.119,PM*,K2.5V
95,etaCol,05:59:08.8051,-42:48:54.482,0.001226,-0.01087,3.96,3.14,2.56,Star,G8/K1II
96,HD40887,06:00:19.5245,-31:01:43.610,-0.027512000000000005,0.9882200000000001,7.873,7.163,6.526,**,K5V+K5V
97,VTYPic,06:07:56.9362,-54:26:21.341,0.00040066666666666674,0.017779,7.7,,6.686,RSCVn,G8/K0III+F
98,VV356Pup,06:08:17.8091,-46:50:58.389,0.00028113333333333335,-0.020564,8.208,,6.984,RSCVn,K1/2III(p)
99,eta02Dor,06:11:14.9816,-65:35:21.904,-0.0015503333333333335,0.119249,5.01,3.51,2.27,PM*,M2.5III
100,kapCol,06:16:33.1351,-35:08:25.863,-1.8666666666666672e-05,0.08794,4.37,3.64,3.13,PM*,G9IIIbCN0.5
101,delCol,06:22:06.8249,-33:26:11.036,-0.0015297333333333337,-0.052045,3.85,3.18,2.71,SB*,G7II
102,HD45270,06:22:30.9408,-60:13:07.147,-0.0007619333333333335,0.064681,6.508,,5.87,PM*,G1V
103,alfCar,06:23:57.1098,-52:41:44.381,0.0013286666666666668,0.02324,-0.74,-0.96,-1.13,Star,A9II
104,lamCMa,06:28:10.2074,-32:34:48.245,-0.000960666666666667,0.02521,4.48,4.54,4.7,Star,B4V
105,VTZPic,06:31:05.7283,-59:00:16.578,0.0021898666666666667,0.04939,7.739,,6.567,RSCVn,K1III/IVp
106,nu.Pup,06:37:45.6713,-43:11:45.360,-2.9333333333333333e-05,-0.00387,3.17,3.17,3.24,Cepheid,B8III
107,HD48189,06:38:00.3532,-61:32:00.114,-0.002784133333333334,0.070148,6.182,,5.46,BYDra,G1/2V
108,10CMa,06:44:28.4671,-31:04:13.892,-0.0002190666666666667,0.004201,5.17,5.15,5.17,Be*,B2V
109,HD49960,06:49:40.5443,-31:15:32.849,0.00023640000000000003,0.015487,8.35,7.54,6.95,Star,K2/3IIIp+(G)
110,kapCMa,06:49:50.4593,-32:30:30.522,-0.0005893333333333334,0.0037300000000000002,3.89,3.91,4.05,Be*,B1.5Ve
111,VNPPup,06:54:26.6835,-42:21:56.058,-0.00010453333333333336,0.020239,6.27,4.55,3.28,C*,C-N4.5
112,HD51799,06:56:15.9899,-48:43:16.125,6.733333333333335e-05,0.00757,4.95,3.47,2.29,V*,M1III
113,HD53143,06:59:59.6550,-61:20:10.252,-0.010791533333333334,0.264836,6.803,6.375,5.99,PM*,G9V
114,HD53705,07:03:57.3152,-43:36:28.925,-0.007003133333333335,0.38983300000000004,5.28,5.05,4.71,PM*,G1.5V
115,HD53706,07:03:58.9212,-43:36:40.873,-0.006781466666666667,0.382507,6.851,6.427,6.013,PM*,K0.5V
116,APup,07:08:51.0682,-39:39:20.357,-0.0007126666666666668,0.00771,4.83,4.9,5.05,Cepheid,B3IV/V
117,IPup,07:12:33.6249,-46:45:33.494,-0.009078000000000001,0.10712,4.49,4.17,3.95,RotV*alf2CVn,F3VFe-1.0
118,L02Pup,07:13:32.3185,-44:38:22.951,0.007117133333333334,0.323164,5.1,2.49,0.07,AGB*,M5IIIe
119,HD56142,07:14:14.0507,-36:25:36.088,-0.0005384000000000002,0.020513000000000003,7.59,,6.661,RotV*,F6/7V
120,HD56438,07:14:36.4077,-47:08:05.811,-0.0007612666666666668,0.021013,8.1,7.23,6.59,Star,K0.5IIIbCH-0.5
121,HD56456,07:14:38.1406,-48:16:18.942,-0.00029333333333333343,1e-05,4.76,4.77,4.85,Star,B8/9V
122,delVol,07:16:49.8238,-67:57:25.748,-0.0002953333333333334,0.00838,3.99,3.33,2.95,Star,F8Ib/II
123,pi.Pup,07:17:08.5567,-37:05:50.896,-0.0006700000000000001,0.00647,2.7,1.46,0.55,LPV*,K4III
124,ups01Pup,07:18:18.3933,-36:44:02.232,-0.0006833333333333335,0.0058200000000000005,4.67,4.57,4.62,Be*,B2V+B3IVne
125,ups02Pup,07:18:38.1853,-36:44:33.854,-0.0006781333333333335,0.006621,5.11,5.17,5.38,Be*,B3Vne
126,HD59468,07:27:25.4642,-51:24:09.361,-0.019172400000000006,-0.002069,6.714,6.33,5.976,PM*,G6.5V
127,sigPup,07:29:13.8304,-43:18:05.159,-0.0039700000000000004,0.18831,3.25,2.04,1.12,SB*,K5III
128,HD59967,07:30:42.5117,-37:20:21.706,-0.0058080000000000015,0.052934,6.635,6.28,5.945,PM*,G3V
129,HD59890,07:30:42.6019,-30:57:44.209,-0.0007979333333333334,0.001055,4.65,3.98,3.51,Star,G2Iab/b
130,zPup,07:33:51.0415,-36:20:18.212,-0.0004932000000000001,0.0060620000000000005,5.44,5.33,5.32,Be*,B2Vne
131,fPup,07:37:22.1097,-34:58:06.710,-0.0009473333333333334,0.01632,4.53,4.55,4.62,**,B8IV/V
132,d01Pup,07:39:27.3383,-38:18:28.878,-0.0014073333333333334,0.01581,4.84,4.92,5.08,Star,B3V
133,VRPup,07:40:52.5968,-31:39:40.195,-0.00015006666666666666,0.003222,6.56,5.69,5.02,YellowSG*,G2_0-Ia
134,cPup,07:45:15.2964,-37:58:06.899,-0.0006786666666666668,0.00634,3.61,2.26,1.26,Star,K4III
135,QPup,07:48:20.1604,-47:04:39.798,-0.006790000000000001,-0.07808,4.71,3.95,3.38,PM*,K0IIIb
136,PPup,07:49:14.2953,-46:22:23.542,-0.0002913333333333334,0.008660000000000001,4.11,4.19,4.36,**,B0III
137,HD64740,07:53:03.6353,-49:36:46.952,-0.000518,0.01516,4.63,4.76,4.97,Star,B2V
138,JPup,07:53:18.1579,-48:06:10.563,-0.0003733333333333334,0.0057599999999999995,4.24,4.26,4.38,Star,B0.5Ib
139,chiPup,07:57:40.1062,-30:20:04.456,-0.0005480000000000001,0.006546000000000001,4.79,4.59,4.44,V*,A7III
140,VAPPup,07:57:45.6725,-40:07:24.082,-0.0003940666666666667,0.004405,7.37,,6.462,deltaCep,F8II
141,HD66194,07:58:50.5509,-60:49:28.060,-0.00031073333333333337,0.011226000000000002,5.81,5.77,5.83,Be*,B3Vn
142,HD67199,08:02:31.1873,-66:01:15.382,-0.010540666666666669,-0.130712,7.166,6.685,6.259,PM*,K2Vk:
143,zetPup,08:03:35.0475,-40:00:11.332,-0.001980666666666667,0.01668,2.25,2.36,2.58,BYDra,O4I(n)fp
144,gam02Vel,08:09:31.9501,-47:20:11.710,-0.0004046666666666667,0.01043,1.83,1.85,2.0,WR*,WC8+O7.5III-V
145,h01Pup,08:11:21.4934,-39:37:06.758,-0.0006048000000000001,0.003211,4.42,3.22,2.34,LPV*,K4.5Ib
146,HD68601,08:11:25.8917,-42:59:14.198,-0.0004246666666666667,0.00464,4.75,4.51,4.29,Star,A5Ib
147,VRSPup,08:13:04.2157,-34:34:42.696,-0.00023453333333333336,0.003126,7.04,,5.453,deltaCep,F8Iab
148,rPup,08:13:29.5171,-35:53:58.266,-0.0004866666666666668,0.00975,4.77,4.68,4.77,Be*,B1V
149,h02Pup,08:14:02.9293,-40:20:52.321,0.0025464000000000003,-0.07015300000000001,4.44,3.6,2.96,SB*,K1II/III
150,qPup,08:18:33.3129,-36:39:33.439,-0.0073553333333333335,0.10048,4.4,4.24,4.11,PM*,A8V
151,wPup,08:21:23.0260,-33:03:15.714,-0.0007814000000000001,0.003316,4.8,3.83,3.08,Star,K2+IIIa
152,BVel,08:22:31.6941,-48:29:25.363,-0.00034,0.0077599999999999995,4.82,4.86,4.99,SB*,B2III
153,VVCar,08:28:43.6940,-60:07:21.268,-0.00026466666666666674,0.002592,7.31,,6.432,deltaCep,F8Ib/II
154,CVel,08:34:43.5965,-49:56:39.127,-0.0009279333333333336,0.018036000000000003,5.01,4.04,3.36,Star,K1.5Ib
