num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,#V,#R,#I
1,HR9087,00:01:49.4481,-03:01:39.011,2000.0,0.0011936666666666669,-0.010329000000000001,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#5.1,#--,#--
2,CD-34241,00:41:46.9202,-33:39:08.430,2000.0,-0.0011334666666666666,-0.018818,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.208,#--,#--
3,LTT1020,01:54:50.2703,-27:28:35.739,2000.0,0.020731133333333335,-0.232066,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.51,#--,#--
4,HR718,02:28:09.5570,+08:27:36.216,2000.0,0.001580466666666667,-0.004787,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#4.3,#4.29,#4.34
5,EG21,03:10:31.0195,-68:36:03.380,2000.0,0.0026445333333333337,-0.103237,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.394,#11.47,#11.558
6,LTT1788,03:48:22.6125,-39:08:37.013,2000.0,0.014275333333333336,-0.18943600000000002,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#13.15,#--,#--
7,HR1544,04:50:36.7229,+08:54:00.649,2000.0,9.400000000000001e-05,-0.02991,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#4.35,#4.29,#4.29
8,LTT2415,05:56:24.7419,-27:51:32.361,2000.0,0.015769333333333333,-0.15728299999999998,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#12.38,#--,#--
9,Hiltner600,06:45:13.3725,+02:08:14.685,2000.0,-7.280000000000001e-05,-0.000342,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#10.44,#--,#--
10,LTT3218,08:41:32.4290,-32:56:32.915,2000.0,-0.07074386666666668,1.3459,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.85,#12.3,#--
11,HR3454,08:43:13.4749,+03:23:55.186,2000.0,-0.001292666666666667,-0.00108,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#4.3,#4.37,#4.56
12,LTT3864,10:32:13.6185,-35:37:41.711,2000.0,-0.017385400000000002,-0.004479,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.84,#--,#--
13,HR4468,11:36:40.9133,-09:48:08.091,2000.0,-0.003958666666666668,0.0025499999999999997,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#4.673,#--,#--
14,LTT4364,11:45:42.9169,-64:50:29.461,2000.0,0.1774426666666667,-0.344933,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.513,#11.34,#11.163
15,Feige56,12:06:47.2348,+11:40:12.659,2000.0,-0.00047426666666666674,-0.006589,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#11.06,#--,#--
16,LTT4816,12:38:49.7811,-49:48:00.219,2000.0,-0.037140733333333335,-0.074036,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#13.96,#--,#--
